data;Índ. Dólar;dólar EUA spot;dólar-ouro;dólar-prata;méx.;euro-dólar EUA;libra-dól;Japão;reais BR;CRB Tot;CRB Ali;CRB Ind;CRB Met;CRB Ól.;CRB Text;CRB Gado;Soja Spot;Milho Spot;Açúcar Spot;Café A Spot;Café A Indx;Petróleo B;Petróleo W;Ouro;Prata
13/03/1998;99,8;1;295,35;6,17;8,56;1,0779;1,6728;127,85;1,133;;;;;;;;;;;;;;;;
16/03/1998;100,06;1;294,35;6,125;8,5345;1,0752;1,668;129,53;1,133;;;;;;;;;;;;;;;;
17/03/1998;99,99;1;292;5,895;8,5345;1,0793;1,6762;128,89;1,1331;;;;;;;;;;;;;;;;
18/03/1998;100,42;1;291,4;5,99;8,557;1,0723;1,6699;130,04;1,134;;;;;;;;;;;;;;;;
19/03/1998;100,77;1;291,25;5,985;8,557;1,0718;1,6654;130,67;1,134;;;;;;;;;;;;;;;;
20/03/1998;100,64;1;291,75;6,225;8,575;1,068;1,6679;130,35;1,1342;;;;;;;;;;;;;;;;
23/03/1998;100,35;1;297,75;6,455;8,532;1,071;1,6775;130,46;1,1345;;;;;;;;;;;;;;;;
24/03/1998;100,4;1;299,25;6,385;8,525;1,0703;1,6733;130,29;1,1348;;;;;;;;;;;;;;;;
25/03/1998;100,2;1;299,35;6,385;8,522;1,0718;1,6758;128,92;1,1353;;;;;;;;;;;;;;;;
26/03/1998;99,77;1;301,25;6,35;8,535;1,0739;1,6875;128,41;1,1356;;;;;;;;;;;;;;;;
27/03/1998;100,33;1;302,25;6,395;8,5505;1,0709;1,6827;130,25;1,136;;;;;;;;;;;;;;;;
30/03/1998;101,34;1;301,4;6,375;8,515;1,0615;1,6772;131,97;1,1362;;;;;;;;;;;;;;;;
31/03/1998;101,5;1;300,95;6,505;8,52;1,0589;1,6725;133,07;1,137;;;;;;;;;;;;;;;;
01/04/1998;101,71;1;299,35;6,375;8,505;1,0588;1,6675;133,63;1,1371;;;;;;;;;;;;;;;;
02/04/1998;101,84;1;302,25;6,555;8,515;1,059;1,6646;133,75;1,1371;;;;;;;;;;;;;;;;
03/04/1998;101,85;1;308,25;6,605;8,525;1,0596;1,6588;135,15;1,1381;;;;;;;;;;;;;;;;
06/04/1998;101,5;1;309,05;6,405;8,525;1,0623;1,6668;134,71;1,1384;;;;;;;;;;;;;;;;
07/04/1998;101,22;1;309,5;6,425;8,51;1,0646;1,6673;133,45;1,1384;;;;;;;;;;;;;;;;
08/04/1998;100,21;1;309,45;6,46;8,51;1,073;1,674;131,21;1,1394;;;;;;;;;;;;;;;;
09/04/1998;100,54;1;308,45;6,455;8,51;1,0769;1,6699;131,48;1,139;;;;;;;;;;;;;;;;
10/04/1998;100,54;1;307,75;6,3;8,51;1,0769;1,673;128,65;1,139;;;;;;;;;;;;;;;;
13/04/1998;100,44;1;311,15;6,405;8,51;1,0769;1,667;129,63;1,1392;;;;;;;;;;;;;;;;
14/04/1998;99,51;1;308,25;6,325;8,47;1,0848;1,6853;129,5;1,14;;;;;;;;;;;;;;;;
15/04/1998;99,59;1;307,25;6,345;8,465;1,0889;1,6845;130,35;1,1403;;;;;;;;;;;;;;;;
16/04/1998;99,81;1;308,15;6,325;8,49;1,0827;1,6915;131,77;1,1405;;;;;;;;;;;;;;;;
17/04/1998;99,92;1;307,75;6,275;8,477;1,0825;1,682;131,79;1,141;;;;;;;;;;;;;;;;
20/04/1998;99,74;1;307,95;6,255;8,465;1,0855;1,6775;132,12;1,1414;;;;;;;;;;;;;;;;
21/04/1998;99,22;1;310,75;6,325;8,461;1,0928;1,6737;131,3;1,1412;;;;;;;;;;;;;;;;
22/04/1998;99,28;1;313,35;6,305;8,449;1,0921;1,6728;130,51;1,1423;;;;;;;;;;;;;;;;
23/04/1998;99,56;1;314,05;6,305;8,467;1,0881;1,667;129,85;1,1424;;;;;;;;;;;;;;;;
24/04/1998;99,38;1;312,65;6,265;8,483;1,0904;1,6661;131,3;1,1432;;;;;;;;;;;;;;;;
27/04/1998;99,34;1;309,65;6,225;8,519;1,0935;1,6744;132,18;1,1432;;;;;;;;;;;;;;;;
28/04/1998;99,62;1;307,95;6,185;8,49;1,0902;1,667;132,12;1,1444;;;;;;;;;;;;;;;;
29/04/1998;99,73;1;310,25;6,235;8,49;1,0911;1,6711;132,32;1,1449;;;;;;;;;;;;;;;;
30/04/1998;99,71;1;306,65;6,265;8,49;1,0906;1,6711;132,87;1,1443;;;;;;;;;;;;;;;;
01/05/1998;99,32;1;302,25;6,155;8,49;1,0998;1,6661;133,44;1,1435;;;;;;;;;;;;;;;;
04/05/1998;99,24;1;304,35;6,265;8,465;1,0998;1,6668;133,03;1,1435;;;;;;;;;;;;;;;;
05/05/1998;98,71;1;303,35;6,125;8,4835;1,104;1,6615;131,58;1,1445;;;;;;;;;;;;;;;;
06/05/1998;98,8;1;300,75;5,925;8,476;1,109;1,66;133,17;1,1448;;;;;;;;;;;;;;;;
07/05/1998;98,89;1;298,7;5,97;8,495;1,1096;1,6483;133,32;1,1447;;;;;;;;;;;;;;;;
08/05/1998;99,05;1;299,85;5,975;8,482;1,1064;1,6389;132,95;1,1449;;;;;;;;;;;;;;;;
11/05/1998;99,31;1;300,35;5,745;8,47;1,1021;1,6308;132,88;1,1455;;;;;;;;;;;;;;;;
12/05/1998;99,39;1;298;5,6;8,505;1,1029;1,6328;133,98;1,1459;;;;;;;;;;;;;;;;
13/05/1998;99,59;1;298,45;5,545;8,52;1,1012;1,6311;134,13;1,1468;;;;;;;;;;;;;;;;
14/05/1998;99,6;1;299,05;5,61;8,517;1,1011;1,6315;133,63;1,1469;;;;;;;;;;;;;;;;
15/05/1998;99,92;1;301,25;5,585;8,515;1,099;1,6267;134,66;1,1468;;;;;;;;;;;;;;;;
18/05/1998;100,17;1;299,55;5,305;8,515;1,0941;1,6243;135,95;1,1471;;;;;;;;;;;;;;;;
19/05/1998;100,17;1;298,45;5,145;8,58;1,0971;1,622;136,26;1,1484;;;;;;;;;;;;;;;;
20/05/1998;99,5;1;299,5;5,275;8,555;1,1061;1,6335;136,08;1,1482;;;;;;;;;;;;;;;;
21/05/1998;98,89;1;301,45;5,325;8,64;1,1135;1,6292;134,97;1,1493;;;;;;;;;;;;;;;;
22/05/1998;99,08;1;299,85;5,285;8,6405;1,1137;1,6279;135,97;1,1511;;;;;;;;;;;;;;;;
25/05/1998;99,08;1;299,75;5,275;8,6405;1,1137;1,629;136,99;1,1523;;;;;;;;;;;;;;;;
26/05/1998;99,75;1;295,55;5,135;8,785;1,1047;1,6353;137,86;1,1527;;;;;;;;;;;;;;;;
27/05/1998;100,15;1;293,85;5,195;8,8295;1,0989;1,6313;137,45;1,1515;;;;;;;;;;;;;;;;
28/05/1998;100,25;1;293,15;5,05;8,812;1,1008;1,6271;138,62;1,1496;;;;;;;;;;;;;;;;
29/05/1998;100,48;1;292,95;5,115;8,855;1,0982;1,631;138,8;1,1501;;;;;;;;;;;;;;;;
01/06/1998;100,23;1;288,45;5,085;8,915;1,0995;1,6397;139,67;1,1516;;;;;;;;;;;;;;;;
02/06/1998;100,14;1;291,15;5,205;8,915;1,0988;1,639;138,75;1,1513;;;;;;;;;;;;;;;;
03/06/1998;99,8;1;293,15;5,215;8,7825;1,105;1,639;138,7;1,1515;;;;;;;;;;;;;;;;
04/06/1998;99,55;1;293,7;5,245;8,754;1,1099;1,6358;138,49;1,1513;;;;;;;;;;;;;;;;
05/06/1998;100,15;1;291,65;5,295;8,783;1,1045;1,6344;139,77;1,152;;;;;;;;;;;;;;;;
08/06/1998;100,4;1;296,95;5,445;8,775;1,1014;1,6338;140,78;1,1525;;;;;;;;;;;;;;;;
09/06/1998;100,39;1;293,65;5,355;8,817;1,1002;1,6365;140,32;1,1533;;;;;;;;;;;;;;;;
10/06/1998;101,2;1;293,25;5,355;8,84;1,0897;1,6288;140,57;1,1542;;;;;;;;;;;;;;;;
11/06/1998;101,94;1;287,05;5,185;9,05;1,0852;1,6278;144,05;1,1535;;;;;;;;;;;;;;;;
